Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
COPENHAGEN,206,4.97,Denmark,LARVIK,206,2.153,Norway,2021S01,S1   2021,2021,S,Semi-annual,208,2,Liquid bulk carriers,1316,
COPENHAGEN,206,4.97,Denmark,LARVIK,206,2.153,Norway,2021S01,S1   2021,2021,S,Semi-annual,208,3,Container ships,623,
COPENHAGEN,206,4.97,Denmark,LARVIK,206,2.153,Norway,2021S01,S1   2021,2021,S,Semi-annual,208,4,Dry breakbulk carriers,4459,
COPENHAGEN,206,4.97,Denmark,LARVIK,206,2.153,Norway,2021S01,S1   2021,2021,S,Semi-annual,208,5,Dry bulk carriers,411,
COPENHAGEN,206,4.97,Denmark,LARVIK,206,2.153,Norway,2021S01,S1   2021,2021,S,Semi-annual,208,6,Roll-on/ roll-off ships,555,
COPENHAGEN,206,4.97,Denmark,LARVIK,206,2.153,Norway,2021S01,S1   2021,2021,S,Semi-annual,208,7,Liquefied petroleum gas carriers,29,
KRISTIANSAND,223,1.764,Denmark,BORDEAUX,223,0.626,France,2021S01,S1   2021,2021,S,Semi-annual,208,0,All ships,50774,
KRISTIANSAND,223,1.764,Denmark,BORDEAUX,223,0.626,France,2021S01,S1   2021,2021,S,Semi-annual,208,1,Passenger ships,43381,
KRISTIANSAND,223,1.764,Denmark,BORDEAUX,223,0.626,France,2021S01,S1   2021,2021,S,Semi-annual,208,2,Liquid bulk carriers,1316,
KRISTIANSAND,223,1.764,Denmark,BORDEAUX,223,0.626,France,2021S01,S1   2021,2021,S,Semi-annual,208,3,Container ships,623,
KRISTIANSAND,223,1.764,Denmark,BORDEAUX,223,0.626,France,2021S01,S1   2021,2021,S,Semi-annual,208,4,Dry breakbulk carriers,4459,
KRISTIANSAND,223,1.764,Denmark,BORDEAUX,223,0.626,France,2021S01,S1   2021,2021,S,Semi-annual,208,5,Dry bulk carriers,411,
KRISTIANSAND,223,1.764,Denmark,BORDEAUX,223,0.626,France,2021S01,S1   2021,2021,S,Semi-annual,208,6,Roll-on/ roll-off ships,555,
KRISTIANSAND,223,1.764,Denmark,BORDEAUX,223,0.626,France,2021S01,S1   2021,2021,S,Semi-annual,208,7,Liquefied petroleum gas carriers,29,
PUERTO LIMON,86,47.807,Costa Rica,ENSENADA,86,20.013,Mexico,,,,,,,,,,
CALDERA (COSTA RICA),260,-8.156,Costa Rica,AGADIR,260,-3.714,Morocco,,,,,,,,,,
TRIPOLI (LEBANON),87,47.491,Lebanon,KRISHNAPATNAM,87,19.994,India,,,,,,,,,,
BEIRUT,357,-183.442,Lebanon,KRIBI DEEP SEA PORT,357,-74.427,Cameroon,,,,,,,,,,
NOUMEA,88,46.92,France,SANTA CRUZ DE TENERIFE,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,251,0,All ships,29840,
NOUMEA,88,46.92,France,SANTA CRUZ DE TENERIFE,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,251,1,Passenger ships,17329,
NOUMEA,88,46.92,France,SANTA CRUZ DE TENERIFE,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,251,2,Liquid bulk carriers,4046,
NOUMEA,88,46.92,France,SANTA CRUZ DE TENERIFE,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,251,3,Container ships,2281,
NOUMEA,88,46.92,France,SANTA CRUZ DE TENERIFE,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,251,4,Dry breakbulk carriers,3612,
NOUMEA,88,46.92,France,SANTA CRUZ DE TENERIFE,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,251,5,Dry bulk carriers,826,
NOUMEA,88,46.92,France,SANTA CRUZ DE TENERIFE,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,251,6,Roll-on/ roll-off ships,1083,
NOUMEA,88,46.92,France,SANTA CRUZ DE TENERIFE,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,251,7,Liquefied petroleum gas carriers,522,
NOUMEA,88,46.92,France,SANTA CRUZ DE TENERIFE,88,19.591,Spain,2021S01,S1   2021,2021,S,Semi-annual,251,8,Liquefied natural gas carriers,141,
NANTES SAINT-NAZAIRE,105,41.619,France,GEMLIK,105,15.943,Turkey,2021S01,S1   2021,2021,S,Semi-annual,251,0,All ships,29840,
NANTES SAINT-NAZAIRE,105,41.619,France,GEMLIK,105,15.943,Turkey,2021S01,S1   2021,2021,S,Semi-annual,251,1,Passenger ships,17329,
NANTES SAINT-NAZAIRE,105,41.619,France,GEMLIK,105,15.943,Turkey,2021S01,S1   2021,2021,S,Semi-annual,251,2,Liquid bulk carriers,4046,
NANTES SAINT-NAZAIRE,105,41.619,France,GEMLIK,105,15.943,Turkey,2021S01,S1   2021,2021,S,Semi-annual,251,3,Container ships,2281,
NANTES SAINT-NAZAIRE,105,41.619,France,GEMLIK,105,15.943,Turkey,2021S01,S1   2021,2021,S,Semi-annual,251,4,Dry breakbulk carriers,3612,
NANTES SAINT-NAZAIRE,105,41.619,France,GEMLIK,105,15.943,Turkey,2021S01,S1   2021,2021,S,Semi-annual,251,5,Dry bulk carriers,826,
NANTES SAINT-NAZAIRE,105,41.619,France,GEMLIK,105,15.943,Turkey,2021S01,S1   2021,2021,S,Semi-annual,251,6,Roll-on/ roll-off ships,1083,
NANTES SAINT-NAZAIRE,105,41.619,France,GEMLIK,105,15.943,Turkey,2021S01,S1   2021,2021,S,Semi-annual,251,7,Liquefied petroleum gas carriers,522,
NANTES SAINT-NAZAIRE,105,41.619,France,GEMLIK,105,15.943,Turkey,2021S01,S1   2021,2021,S,Semi-annual,251,8,Liquefied natural gas carriers,141,
POINTE-?-PITRE,109,40.162,France,LAZARO CARDENAS,109,15.138,Mexico,2021S01,S1   2021,2021,S,Semi-annual,251,0,All ships,29840,
