Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
ALTAMIRA,85,50.07,76,21.645,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
ALTAMIRA,85,50.07,76,21.645,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
BARCELONA,22,119.332,19,55.311,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
BARCELONA,22,119.332,19,55.311,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
BARCELONA,22,119.332,19,55.311,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
BARCELONA,22,119.332,19,55.311,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
BARCELONA,22,119.332,19,55.311,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
BARCELONA,22,119.332,19,55.311,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
BARCELONA,22,119.332,19,55.311,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
BARCELONA,22,119.332,19,55.311,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
BARCELONA,22,119.332,19,55.311,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
BILBAO,202,7.192,201,2.558,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
BILBAO,202,7.192,201,2.558,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
BILBAO,202,7.192,201,2.558,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
BILBAO,202,7.192,201,2.558,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
BILBAO,202,7.192,201,2.558,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
BILBAO,202,7.192,201,2.558,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
BILBAO,202,7.192,201,2.558,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
BILBAO,202,7.192,201,2.558,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
BILBAO,202,7.192,201,2.558,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
CADIZ,221,2.588,217,1.288,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
CADIZ,221,2.588,217,1.288,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
CADIZ,221,2.588,217,1.288,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
CADIZ,221,2.588,217,1.288,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
CADIZ,221,2.588,217,1.288,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
CADIZ,221,2.588,217,1.288,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
CADIZ,221,2.588,217,1.288,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
CADIZ,221,2.588,217,1.288,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
CADIZ,221,2.588,217,1.288,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
CORONEL,39,100.17,49,33.796,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
CORONEL,39,100.17,49,33.796,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
CORONEL,39,100.17,49,33.796,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
CORONEL,39,100.17,49,33.796,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
CORONEL,39,100.17,49,33.796,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
CORONEL,39,100.17,49,33.796,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
CORONEL,39,100.17,49,33.796,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
CORONEL,39,100.17,49,33.796,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
CORONEL,39,100.17,49,33.796,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
GIJON,236,-0.544,224,0.596,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
GIJON,236,-0.544,224,0.596,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
GIJON,236,-0.544,224,0.596,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
GIJON,236,-0.544,224,0.596,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
GIJON,236,-0.544,224,0.596,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
GIJON,236,-0.544,224,0.596,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
GIJON,236,-0.544,224,0.596,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
GIJON,236,-0.544,224,0.596,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
GIJON,236,-0.544,224,0.596,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
MALAGA,137,22.325,140,8.27,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
MALAGA,137,22.325,140,8.27,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
MALAGA,137,22.325,140,8.27,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
MALAGA,137,22.325,140,8.27,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
MALAGA,137,22.325,140,8.27,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
MALAGA,137,22.325,140,8.27,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,5,Dry bulk carriers,1542,
MALAGA,137,22.325,140,8.27,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,6,Roll-on/ roll-off ships,2970,
MALAGA,137,22.325,140,8.27,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,7,Liquefied petroleum gas carriers,647,
MALAGA,137,22.325,140,8.27,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,8,Liquefied natural gas carriers,170,
PORT OF SPAIN,254,-5.624,252,-2.258,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,0,All ships,53130,
PORT OF SPAIN,254,-5.624,252,-2.258,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,1,Passenger ships,26286,
PORT OF SPAIN,254,-5.624,252,-2.258,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,2,Liquid bulk carriers,7660,
PORT OF SPAIN,254,-5.624,252,-2.258,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,3,Container ships,7367,
PORT OF SPAIN,254,-5.624,252,-2.258,Spain,2021S01,S1   2021,2021,S,Semi-annual,724,4,Dry breakbulk carriers,6488,
